ILL,sample,umi_underspike,umi_overspike,umi_over_pctg,total_reads,sample_type,cut,check1_total_reads,check2_umi_overspike,check3_pct_overspike,checks_passed,is_empty
138,s57-D10,271594,17765,0.06139432331463684,18326252,sample,True,True,True,True,3,False
138,s57-F4,478045,6889,0.014206056906713078,37078274,sample,True,True,True,True,3,False
138,s58-D11,300731,14957,0.04737905780390766,21550608,sample,True,True,True,True,3,False
138,s59-G4,366761,9667,0.02568087389885981,31815869,sample,True,True,True,True,3,False
138,s6-F12,67504,27,0.00039981638062519434,1230449,sample,False,False,False,False,0,True
138,s61-H4,115957,18,0.0001552058633326148,13625101,sample,True,True,False,False,1,True
138,s62-A6,29198,86,0.002936757273596503,989205,sample,False,False,False,False,0,True
138,s63-B5,55223,0,0.0,4164085,sample,True,True,False,False,1,True
138,s64-C5,147195,8,5.434671847720495e-05,14718062,sample,True,True,False,False,1,True
138,s65-D6,463567,1283,0.002760030117242121,34906360,sample,True,True,True,False,2,False
138,s66-E5,320326,2,6.2436003096825756e-06,27639596,sample,True,True,False,False,1,True
138,s7-D1,92604,568,0.006096252092903447,2574356,sample,True,True,True,True,3,False
138,s7-G12,70499,922,0.012909368393049663,1763496,sample,True,True,True,True,3,False
138,s8-H12,17575,293,0.01639802999776136,730970,sample,False,False,True,True,2,False
138,s9-E1,378894,4720,0.012304034784966137,30829640,sample,True,True,True,True,3,False
138,s9-H11,156263,14946,0.08729681266755837,11844129,sample,True,True,True,True,3,False
138,s99-E1,61145,378,0.006144043690977358,1251110,sample,False,False,True,True,2,False
